Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
Groundhog Day,137,84.6%,21.0,3.2,26.2%,2026-02-22 00:00:00
Groundhog Day,137,87.1%,17.6,2.9,25.9%,2026-03-01 00:00:00
Groundhog Day,139,87.9%,24.0,3.1,28.9%,2026-03-08 00:00:00
Groundhog Day,142,86.0%,22.4,2.9,30.7%,2026-03-15 00:00:00
Groundhog Day,142,58.1%,5.8,0.7,27.7%,2026-03-22 00:00:00
Catch Me If You Can,32,72.7%,19.9,3.0,,2025-03-30 00:00:00
Catch Me If You Can,32,61.4%,22.4,2.6,,2025-04-06 00:00:00
Catch Me If You Can,33,65.9%,19.2,2.5,,2025-04-13 00:00:00
Catch Me If You Can,30,67.5%,21.1,2.5,,2025-04-20 00:00:00
Catch Me If You Can,31,64.1%,15.7,1.8,,2025-04-27 00:00:00
Catch Me If You Can,33,68.2%,21.1,2.2,,2025-05-04 00:00:00
Catch Me If You Can,30,69.8%,27.7,3.5,,2025-05-11 00:00:00
Catch Me If You Can,31,62.8%,26.4,2.8,,2025-05-18 00:00:00
Catch Me If You Can,32,72.7%,24.6,3.0,15.9%,2025-05-25 00:00:00
Catch Me If You Can,33,70.5%,21.7,3.0,22.7%,2025-06-01 00:00:00
Catch Me If You Can,32,70.5%,29.6,3.1,25.0%,2025-06-08 00:00:00
Catch Me If You Can,34,71.1%,37.5,3.1,24.4%,2025-06-15 00:00:00
Catch Me If You Can,33,72.1%,40.9,3.5,27.9%,2025-06-22 00:00:00
Catch Me If You Can,33,69.0%,32.5,2.8,26.2%,2025-06-29 00:00:00
Catch Me If You Can,34,72.1%,30.8,3.5,30.2%,2025-07-06 00:00:00
Catch Me If You Can,33,74.4%,23.8,2.9,27.9%,2025-07-13 00:00:00
Catch Me If You Can,33,71.4%,27.8,3.0,28.6%,2025-07-20 00:00:00
Catch Me If You Can,33,76.2%,33.5,3.6,31.0%,2025-07-27 00:00:00
Catch Me If You Can,33,76.2%,34.6,3.5,31.0%,2025-08-03 00:00:00
Catch Me If You Can,32,71.4%,21.8,2.8,33.3%,2025-08-10 00:00:00
Catch Me If You Can,32,64.4%,28.1,2.6,28.9%,2025-08-17 00:00:00
Catch Me If You Can,30,67.4%,29.9,3.2,32.6%,2025-08-24 00:00:00
Catch Me If You Can,34,71.1%,24.9,3.0,33.3%,2025-08-31 00:00:00
Catch Me If You Can,35,70.2%,25.1,3.2,34.0%,2025-09-07 00:00:00
Catch Me If You Can,34,70.2%,27.5,3.2,36.2%,2025-09-14 00:00:00
Catch Me If You Can,34,71.1%,26.3,3.2,37.8%,2025-09-21 00:00:00
Catch Me If You Can,33,71.1%,33.4,3.3,35.6%,2025-09-28 00:00:00
Catch Me If You Can,35,75.6%,32.0,3.0,33.3%,2025-10-05 00:00:00
Catch Me If You Can,36,74.5%,32.9,3.5,31.9%,2025-10-12 00:00:00
Catch Me If You Can,37,72.3%,22.5,2.8,31.9%,2025-10-19 00:00:00
Catch Me If You Can,35,76.1%,39.5,3.5,32.6%,2025-10-26 00:00:00
Catch Me If You Can,37,82.2%,27.4,3.2,33.3%,2025-11-02 00:00:00
Catch Me If You Can,38,82.6%,35.2,3.5,32.6%,2025-11-09 00:00:00
Catch Me If You Can,38,84.4%,33.2,3.4,35.6%,2025-11-16 00:00:00
Catch Me If You Can,37,82.2%,27.4,3.0,35.6%,2025-11-23 00:00:00
Catch Me If You Can,38,78.3%,24.6,3.2,41.3%,2025-11-30 00:00:00
Catch Me If You Can,39,80.9%,27.0,2.9,42.6%,2025-12-07 00:00:00
Catch Me If You Can,39,78.7%,22.7,3.3,46.8%,2025-12-14 00:00:00
Catch Me If You Can,34,73.2%,13.1,1.9,43.9%,2025-12-21 00:00:00
Catch Me If You Can,30,66.7%,8.6,1.4,44.4%,2025-12-28 00:00:00
Catch Me If You Can,38,82.2%,25.6,3.0,42.2%,2026-01-04 00:00:00
Catch Me If You Can,40,75.0%,30.7,3.0,45.8%,2026-01-11 00:00:00
Catch Me If You Can,40,80.9%,29.4,3.5,46.8%,2026-01-18 00:00:00
Catch Me If You Can,41,83.3%,32.6,3.7,41.7%,2026-01-25 00:00:00
Catch Me If You Can,40,83.0%,26.5,3.5,42.6%,2026-02-01 00:00:00
Catch Me If You Can,40,80.4%,25.7,3.2,39.1%,2026-02-08 00:00:00
Catch Me If You Can,29,78.8%,16.3,2.7,36.4%,2026-02-15 00:00:00
Catch Me If You Can,42,85.1%,24.4,3.4,38.3%,2026-02-22 00:00:00
Catch Me If You Can,41,91.1%,44.6,3.9,37.8%,2026-03-01 00:00:00
Catch Me If You Can,42,91.1%,46.2,3.7,37.8%,2026-03-08 00:00:00
Catch Me If You Can,44,97.8%,35.1,3.5,42.2%,2026-03-15 00:00:00
Catch Me If You Can,42,60.5%,7.5,0.7,39.5%,2026-03-22 00:00:00
The Grand Budapest Hotel,48,58.3%,8.7,2.0,,2025-03-30 00:00:00
The Grand Budapest Hotel,47,60.3%,14.7,2.4,,2025-04-06 00:00:00
The Grand Budapest Hotel,47,52.9%,10.6,2.1,,2025-04-13 00:00:00
The Grand Budapest Hotel,46,60.0%,19.3,2.1,,2025-04-20 00:00:00
The Grand Budapest Hotel,44,53.8%,21.9,1.9,,2025-04-27 00:00:00
The Grand Budapest Hotel,50,60.3%,20.5,2.5,,2025-05-04 00:00:00
The Grand Budapest Hotel,49,60.3%,14.8,2.6,,2025-05-11 00:00:00
The Grand Budapest Hotel,48,58.3%,12.1,2.0,,2025-05-18 00:00:00
The Grand Budapest Hotel,49,54.9%,8.4,1.8,8.5%,2025-05-25 00:00:00
The Grand Budapest Hotel,48,57.7%,13.7,2.3,11.3%,2025-06-01 00:00:00
The Grand Budapest Hotel,45,58.8%,14.8,2.4,13.2%,2025-06-08 00:00:00
The Grand Budapest Hotel,46,62.7%,14.9,2.6,11.9%,2025-06-15 00:00:00
The Grand Budapest Hotel,48,64.3%,18.3,2.8,15.7%,2025-06-22 00:00:00
The Grand Budapest Hotel,43,62.1%,13.3,2.5,19.7%,2025-06-29 00:00:00
The Grand Budapest Hotel,42,60.3%,14.1,2.6,15.9%,2025-07-06 00:00:00
The Grand Budapest Hotel,43,59.4%,14.3,2.3,14.1%,2025-07-13 00:00:00
The Grand Budapest Hotel,42,58.1%,16.8,2.4,17.7%,2025-07-20 00:00:00
The Grand Budapest Hotel,38,48.4%,20.8,2.2,17.7%,2025-07-27 00:00:00
The Grand Budapest Hotel,36,50.8%,19.0,2.2,19.7%,2025-08-03 00:00:00
The Grand Budapest Hotel,37,50.0%,17.5,2.1,19.7%,2025-08-10 00:00:00
The Grand Budapest Hotel,36,53.0%,21.2,2.5,22.7%,2025-08-17 00:00:00
The Grand Budapest Hotel,38,53.7%,16.2,2.4,22.4%,2025-08-24 00:00:00
The Grand Budapest Hotel,36,49.2%,13.5,2.3,20.0%,2025-08-31 00:00:00
The Grand Budapest Hotel,39,51.5%,12.0,2.1,19.1%,2025-09-07 00:00:00
The Grand Budapest Hotel,38,53.7%,16.8,2.4,17.9%,2025-09-14 00:00:00
The Grand Budapest Hotel,43,58.0%,17.7,2.3,21.7%,2025-09-21 00:00:00
The Grand Budapest Hotel,43,53.5%,17.2,2.4,21.1%,2025-09-28 00:00:00
The Grand Budapest Hotel,43,57.1%,20.5,2.1,21.4%,2025-10-05 00:00:00
The Grand Budapest Hotel,43,55.1%,20.3,2.4,23.2%,2025-10-12 00:00:00
The Grand Budapest Hotel,44,55.1%,18.1,2.1,23.2%,2025-10-19 00:00:00
The Grand Budapest Hotel,45,61.8%,17.0,2.4,20.6%,2025-10-26 00:00:00
The Grand Budapest Hotel,50,65.7%,14.4,2.1,20.0%,2025-11-02 00:00:00
The Grand Budapest Hotel,52,67.6%,33.4,2.5,21.1%,2025-11-09 00:00:00
The Grand Budapest Hotel,55,73.2%,19.4,2.8,21.1%,2025-11-16 00:00:00
The Grand Budapest Hotel,53,67.6%,14.1,2.0,23.5%,2025-11-23 00:00:00
The Grand Budapest Hotel,56,69.4%,22.8,2.9,23.6%,2025-11-30 00:00:00
The Grand Budapest Hotel,57,75.7%,20.1,2.8,25.7%,2025-12-07 00:00:00
The Grand Budapest Hotel,56,70.4%,18.9,2.6,25.4%,2025-12-14 00:00:00
The Grand Budapest Hotel,33,47.7%,5.2,1.1,22.7%,2025-12-21 00:00:00
The Grand Budapest Hotel,27,39.5%,6.7,0.9,15.8%,2025-12-28 00:00:00
The Grand Budapest Hotel,55,73.9%,19.2,2.8,23.2%,2026-01-04 00:00:00
The Grand Budapest Hotel,53,73.5%,18.3,2.8,23.5%,2026-01-11 00:00:00
The Grand Budapest Hotel,55,72.1%,18.7,2.6,20.6%,2026-01-18 00:00:00
The Grand Budapest Hotel,54,76.9%,21.9,3.0,20.0%,2026-01-25 00:00:00
The Grand Budapest Hotel,58,80.9%,19.7,3.0,20.6%,2026-02-01 00:00:00
The Grand Budapest Hotel,58,79.4%,21.2,3.1,22.1%,2026-02-08 00:00:00
The Grand Budapest Hotel,57,81.8%,25.9,3.2,24.2%,2026-02-15 00:00:00
The Grand Budapest Hotel,57,80.3%,32.1,3.4,27.3%,2026-02-22 00:00:00
The Grand Budapest Hotel,60,83.6%,26.5,3.4,28.4%,2026-03-01 00:00:00
The Grand Budapest Hotel,62,87.9%,28.8,3.3,30.3%,2026-03-08 00:00:00
The Grand Budapest Hotel,64,89.4%,27.8,3.3,34.8%,2026-03-15 00:00:00
The Grand Budapest Hotel,69,69.6%,5.7,0.7,34.8%,2026-03-22 00:00:00
Ocean's Eleven,28,30.0%,8.4,2.0,,2025-03-30 00:00:00
Ocean's Eleven,30,34.1%,8.2,2.4,,2025-04-06 00:00:00
Ocean's Eleven,29,28.9%,7.9,1.8,,2025-04-13 00:00:00
Ocean's Eleven,30,27.4%,6.7,1.7,,2025-04-20 00:00:00
Ocean's Eleven,32,28.8%,6.2,1.2,,2025-04-27 00:00:00
Ocean's Eleven,35,32.2%,7.5,1.6,,2025-05-04 00:00:00
Ocean's Eleven,38,36.4%,14.2,2.3,,2025-05-11 00:00:00
Ocean's Eleven,37,35.6%,9.4,2.0,,2025-05-18 00:00:00
Ocean's Eleven,34,33.3%,14.2,2.1,1.2%,2025-05-25 00:00:00
Ocean's Eleven,36,30.2%,11.2,1.8,2.3%,2025-06-01 00:00:00
Ocean's Eleven,37,33.3%,12.1,1.9,2.3%,2025-06-08 00:00:00
Ocean's Eleven,37,37.6%,13.0,1.9,3.5%,2025-06-15 00:00:00
Ocean's Eleven,37,41.0%,10.3,2.2,6.0%,2025-06-22 00:00:00
Ocean's Eleven,36,38.6%,8.4,1.8,6.0%,2025-06-29 00:00:00
Ocean's Eleven,38,36.4%,8.3,1.7,4.5%,2025-07-06 00:00:00
Ocean's Eleven,37,37.2%,8.8,1.8,5.8%,2025-07-13 00:00:00
Ocean's Eleven,39,39.7%,9.6,1.7,5.1%,2025-07-20 00:00:00
Ocean's Eleven,40,40.3%,17.1,2.0,6.5%,2025-07-27 00:00:00
Ocean's Eleven,39,39.2%,27.8,1.9,7.6%,2025-08-03 00:00:00
Ocean's Eleven,42,37.3%,9.2,1.7,7.2%,2025-08-10 00:00:00
Ocean's Eleven,42,41.4%,25.3,1.8,9.2%,2025-08-17 00:00:00
Ocean's Eleven,43,43.0%,9.9,1.9,9.3%,2025-08-24 00:00:00
Ocean's Eleven,50,46.6%,10.2,1.9,6.8%,2025-08-31 00:00:00
Ocean's Eleven,49,46.6%,24.1,1.8,5.7%,2025-09-07 00:00:00
Ocean's Eleven,55,56.6%,22.0,2.2,7.2%,2025-09-14 00:00:00
Ocean's Eleven,54,56.1%,17.0,2.0,7.3%,2025-09-21 00:00:00
Ocean's Eleven,53,57.3%,14.5,2.1,11.0%,2025-09-28 00:00:00
Ocean's Eleven,58,58.8%,14.2,2.2,11.8%,2025-10-05 00:00:00
Ocean's Eleven,58,62.4%,14.3,2.2,12.9%,2025-10-12 00:00:00
Ocean's Eleven,57,54.0%,11.0,1.9,11.5%,2025-10-19 00:00:00
Ocean's Eleven,58,57.5%,10.2,2.0,12.6%,2025-10-26 00:00:00
Ocean's Eleven,57,55.8%,8.7,1.6,12.8%,2025-11-02 00:00:00
Ocean's Eleven,59,58.4%,9.1,2.0,14.6%,2025-11-09 00:00:00
Ocean's Eleven,58,56.7%,11.5,1.9,15.6%,2025-11-16 00:00:00
Ocean's Eleven,57,58.1%,13.4,1.8,14.0%,2025-11-23 00:00:00
Ocean's Eleven,59,60.7%,14.3,2.3,14.6%,2025-11-30 00:00:00
Ocean's Eleven,61,62.2%,10.7,2.3,14.4%,2025-12-07 00:00:00
Ocean's Eleven,61,53.3%,9.6,1.7,13.3%,2025-12-14 00:00:00
Ocean's Eleven,40,34.4%,3.5,0.8,14.1%,2025-12-21 00:00:00
Ocean's Eleven,39,29.6%,2.7,0.6,9.3%,2025-12-28 00:00:00
Ocean's Eleven,60,55.3%,7.3,1.6,9.4%,2026-01-04 00:00:00
Ocean's Eleven,60,55.7%,10.6,1.8,9.1%,2026-01-11 00:00:00
Ocean's Eleven,58,58.0%,11.4,2.1,9.1%,2026-01-18 00:00:00
Ocean's Eleven,57,59.3%,14.9,2.4,10.5%,2026-01-25 00:00:00
Ocean's Eleven,75,62.4%,13.5,2.1,10.6%,2026-02-01 00:00:00
Ocean's Eleven,73,81.7%,21.4,2.7,11.0%,2026-02-08 00:00:00
Ocean's Eleven,74,74.1%,15.3,2.4,12.9%,2026-02-15 00:00:00
Ocean's Eleven,75,75.6%,18.6,2.7,14.0%,2026-02-22 00:00:00
Ocean's Eleven,76,77.0%,23.9,2.9,17.2%,2026-03-01 00:00:00
Ocean's Eleven,76,84.5%,27.8,3.0,16.7%,2026-03-08 00:00:00
Ocean's Eleven,85,87.4%,32.1,3.2,20.7%,2026-03-15 00:00:00
Ocean's Eleven,84,57.5%,3.5,0.6,20.7%,2026-03-22 00:00:00
Mission Impossible,13,65.0%,12.7,2.8,,2025-03-30 00:00:00
Mission Impossible,13,61.9%,13.8,2.3,,2025-04-06 00:00:00
Mission Impossible,10,50.0%,5.7,2.0,,2025-04-13 00:00:00
Mission Impossible,12,55.0%,9.0,2.1,,2025-04-20 00:00:00
Mission Impossible,13,60.0%,7.3,2.1,,2025-04-27 00:00:00
Mission Impossible,13,47.4%,9.0,1.8,,2025-05-04 00:00:00
Mission Impossible,13,66.7%,11.7,3.2,,2025-05-11 00:00:00
Mission Impossible,13,57.1%,9.2,2.1,,2025-05-18 00:00:00
Mission Impossible,12,50.0%,8.8,1.8,,2025-05-25 00:00:00
Mission Impossible,13,61.9%,12.6,3.0,4.8%,2025-06-01 00:00:00
Mission Impossible,12,50.0%,15.2,2.2,5.0%,2025-06-08 00:00:00
Mission Impossible,13,61.9%,14.7,2.5,9.5%,2025-06-15 00:00:00
Mission Impossible,12,63.2%,14.5,2.2,10.5%,2025-06-22 00:00:00
Mission Impossible,13,50.0%,7.1,1.3,5.0%,2025-06-29 00:00:00
Mission Impossible,13,55.0%,6.6,2.1,5.0%,2025-07-06 00:00:00
Mission Impossible,12,45.0%,7.2,2.0,5.0%,2025-07-13 00:00:00
Mission Impossible,11,36.8%,13.5,2.0,10.5%,2025-07-20 00:00:00
Mission Impossible,12,47.6%,16.0,2.1,9.5%,2025-07-27 00:00:00
Mission Impossible,12,42.9%,31.8,2.4,9.5%,2025-08-03 00:00:00
Mission Impossible,11,55.0%,13.4,2.1,5.0%,2025-08-10 00:00:00
Mission Impossible,13,66.7%,9.5,1.9,11.1%,2025-08-17 00:00:00
Mission Impossible,12,52.6%,3.7,1.3,5.3%,2025-08-24 00:00:00
Mission Impossible,16,70.0%,20.2,2.2,10.0%,2025-08-31 00:00:00
Mission Impossible,17,81.0%,16.7,2.8,9.5%,2025-09-07 00:00:00
Mission Impossible,18,76.2%,13.5,2.4,9.5%,2025-09-14 00:00:00
Mission Impossible,16,84.2%,11.7,3.1,10.5%,2025-09-21 00:00:00
Mission Impossible,17,84.2%,16.2,3.3,10.5%,2025-09-28 00:00:00
Mission Impossible,16,83.3%,11.4,2.3,11.1%,2025-10-05 00:00:00
Mission Impossible,19,66.7%,17.5,2.0,14.3%,2025-10-12 00:00:00
Mission Impossible,19,85.7%,9.8,2.4,14.3%,2025-10-19 00:00:00
Mission Impossible,19,76.2%,11.7,2.1,14.3%,2025-10-26 00:00:00
Mission Impossible,18,80.0%,31.9,2.5,20.0%,2025-11-02 00:00:00
Mission Impossible,19,76.2%,14.0,2.5,23.8%,2025-11-09 00:00:00
Mission Impossible,19,76.2%,15.7,2.5,23.8%,2025-11-16 00:00:00
Mission Impossible,19,81.0%,16.3,2.1,23.8%,2025-11-23 00:00:00
Mission Impossible,19,90.5%,8.8,1.8,23.8%,2025-11-30 00:00:00
Mission Impossible,19,71.4%,6.4,1.6,19.0%,2025-12-07 00:00:00
Mission Impossible,17,84.2%,8.9,2.1,15.8%,2025-12-14 00:00:00
Mission Impossible,13,57.1%,2.6,0.9,7.1%,2025-12-21 00:00:00
Mission Impossible,15,50.0%,5.8,0.8,18.8%,2025-12-28 00:00:00
Mission Impossible,17,57.9%,6.5,1.4,21.1%,2026-01-04 00:00:00
Mission Impossible,19,81.0%,9.4,2.0,14.3%,2026-01-11 00:00:00
Mission Impossible,18,85.0%,14.7,2.0,15.0%,2026-01-18 00:00:00
Mission Impossible,20,66.7%,7.4,1.6,9.5%,2026-01-25 00:00:00
Mission Impossible,20,85.7%,13.7,2.4,9.5%,2026-02-01 00:00:00
Mission Impossible,20,85.7%,12.9,2.7,9.5%,2026-02-08 00:00:00
Mission Impossible,20,85.7%,16.1,2.6,19.0%,2026-02-15 00:00:00
Mission Impossible,20,76.2%,10.8,2.3,19.0%,2026-02-22 00:00:00
Mission Impossible,21,81.0%,14.2,2.1,19.0%,2026-03-01 00:00:00
Mission Impossible,21,90.5%,27.2,2.6,23.8%,2026-03-08 00:00:00
Mission Impossible,21,85.7%,17.5,2.1,28.6%,2026-03-15 00:00:00
Mission Impossible,21,38.1%,2.3,0.4,28.6%,2026-03-22 00:00:00
Moneyball,34,65.3%,17.0,2.6,,2025-03-30 00:00:00
Moneyball,38,68.0%,14.0,2.7,,2025-04-06 00:00:00
Moneyball,36,66.0%,15.7,2.2,,2025-04-13 00:00:00
Moneyball,37,62.7%,16.5,2.3,,2025-04-20 00:00:00
Moneyball,37,57.7%,20.8,2.4,,2025-04-27 00:00:00
Moneyball,37,61.5%,15.6,2.4,,2025-05-04 00:00:00
Moneyball,40,68.5%,11.1,2.6,,2025-05-11 00:00:00
Moneyball,38,67.9%,17.4,3.0,,2025-05-18 00:00:00
Moneyball,36,66.7%,14.3,2.6,11.8%,2025-05-25 00:00:00
Moneyball,37,65.4%,16.1,2.9,17.3%,2025-06-01 00:00:00
Moneyball,38,67.3%,12.8,2.7,17.3%,2025-06-08 00:00:00
Moneyball,38,70.6%,17.3,2.8,17.6%,2025-06-15 00:00:00
Moneyball,38,68.6%,19.5,2.9,19.6%,2025-06-22 00:00:00
Moneyball,37,61.5%,18.2,2.9,15.4%,2025-06-29 00:00:00
Moneyball,36,68.0%,19.0,3.1,18.0%,2025-07-06 00:00:00
Moneyball,35,63.3%,19.6,2.7,16.3%,2025-07-13 00:00:00
Moneyball,36,70.0%,20.9,3.2,16.0%,2025-07-20 00:00:00
Moneyball,35,64.6%,16.0,2.4,20.8%,2025-07-27 00:00:00
Moneyball,36,70.8%,17.6,2.5,20.8%,2025-08-03 00:00:00
Moneyball,35,56.0%,14.4,2.2,18.0%,2025-08-10 00:00:00
Moneyball,36,67.3%,19.3,3.1,17.3%,2025-08-17 00:00:00
Moneyball,40,61.8%,44.5,2.5,18.2%,2025-08-24 00:00:00
Moneyball,40,73.1%,18.6,2.6,21.2%,2025-08-31 00:00:00
Moneyball,40,64.2%,19.4,2.7,24.5%,2025-09-07 00:00:00
Moneyball,41,66.7%,16.5,2.8,20.4%,2025-09-14 00:00:00
Moneyball,38,64.0%,13.1,2.6,20.0%,2025-09-21 00:00:00
Moneyball,38,64.0%,11.8,2.2,20.0%,2025-09-28 00:00:00
Moneyball,38,66.7%,14.5,2.8,21.6%,2025-10-05 00:00:00
Moneyball,39,62.7%,12.1,2.3,21.6%,2025-10-12 00:00:00
Moneyball,41,66.0%,16.3,2.4,17.0%,2025-10-19 00:00:00
Moneyball,43,77.4%,18.6,3.0,17.0%,2025-10-26 00:00:00
Moneyball,44,68.5%,23.0,2.3,16.7%,2025-11-02 00:00:00
Moneyball,44,77.8%,18.7,2.7,20.4%,2025-11-09 00:00:00
Moneyball,42,72.5%,18.6,2.9,21.6%,2025-11-16 00:00:00
Moneyball,44,77.4%,16.8,2.8,20.8%,2025-11-23 00:00:00
Moneyball,46,78.2%,19.1,2.9,18.2%,2025-11-30 00:00:00
Moneyball,45,75.9%,16.3,2.9,16.7%,2025-12-07 00:00:00
Moneyball,43,74.5%,18.0,2.7,17.6%,2025-12-14 00:00:00
Moneyball,29,50.0%,4.0,1.0,11.1%,2025-12-21 00:00:00
Moneyball,27,46.7%,4.0,0.9,20.0%,2025-12-28 00:00:00
Moneyball,45,80.8%,15.4,2.7,15.4%,2026-01-04 00:00:00
Moneyball,47,69.1%,16.1,2.8,18.2%,2026-01-11 00:00:00
Moneyball,47,81.8%,16.8,3.1,14.5%,2026-01-18 00:00:00
Moneyball,48,80.0%,17.0,3.1,16.4%,2026-01-25 00:00:00
Moneyball,49,79.6%,20.6,3.4,18.5%,2026-02-01 00:00:00
Moneyball,48,84.9%,18.7,3.3,17.0%,2026-02-08 00:00:00
Moneyball,48,84.9%,18.5,3.2,17.0%,2026-02-15 00:00:00
Moneyball,48,81.1%,16.9,3.1,18.9%,2026-02-22 00:00:00
Moneyball,49,83.0%,20.4,3.2,18.9%,2026-03-01 00:00:00
Moneyball,50,88.9%,28.4,3.5,18.5%,2026-03-08 00:00:00
Moneyball,50,90.7%,29.8,3.4,18.5%,2026-03-15 00:00:00
Moneyball,51,61.8%,5.1,0.7,18.2%,2026-03-22 00:00:00
Captain America,7,42.9%,1.7,0.4,,2026-03-22 00:00:00
Iron Man,102,87.6%,26.2,3.0,28.6%,2026-03-15 00:00:00
Iron Man,94,58.6%,4.9,0.7,31.3%,2026-03-22 00:00:00
The Avengers,1,20.0%,42.0,4.0,,2025-03-30 00:00:00
The Avengers,1,20.0%,10.0,2.0,,2025-04-06 00:00:00
The Avengers,1,20.0%,5.0,1.0,,2025-04-13 00:00:00
The Avengers,1,12.5%,1.0,1.0,,2025-04-20 00:00:00
The Avengers,1,8.3%,2.0,1.0,,2025-04-27 00:00:00
The Avengers,1,7.7%,18.5,2.0,,2025-05-04 00:00:00
The Avengers,1,7.7%,27.0,2.5,,2025-05-11 00:00:00
The Avengers,1,3.8%,32.0,2.0,,2025-05-18 00:00:00
The Avengers,3,6.9%,6.3,1.3,3.4%,2025-05-25 00:00:00
The Avengers,1,3.3%,27.0,1.7,3.3%,2025-06-01 00:00:00
The Avengers,2,5.1%,11.3,2.0,2.6%,2025-06-08 00:00:00
The Avengers,2,5.7%,2.6,1.2,,2025-06-15 00:00:00
The Avengers,2,5.6%,1.0,0.6,,2025-06-22 00:00:00
The Avengers,3,5.9%,8.0,1.0,2.0%,2025-06-29 00:00:00
The Avengers,4,6.0%,13.5,1.5,1.5%,2025-07-06 00:00:00
The Avengers,45,23.6%,4.4,0.7,1.4%,2025-07-13 00:00:00
The Avengers,38,22.7%,4.3,1.0,1.5%,2025-07-20 00:00:00
The Avengers,40,28.8%,6.7,1.2,1.4%,2025-07-27 00:00:00
The Avengers,53,33.3%,9.1,1.3,1.2%,2025-08-03 00:00:00
The Avengers,72,58.4%,22.9,2.3,1.8%,2025-08-10 00:00:00
The Avengers,72,61.1%,18.6,2.6,1.8%,2025-08-17 00:00:00
The Avengers,72,63.1%,16.7,2.6,1.8%,2025-08-24 00:00:00
